Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,Gini,energy_pc,murder,health,debt_gdp,credit_gdp,npl,gov_exp
1980,28011596,76961923741.0701,1269.0,21.5650291442871,3.09895833333333,,5.13877487432074,40.8,,,,,25.3957927510595,,
1981,28463959,78676842366.5529,954.0,22.9634208679199,3.46534653465347,,1.77463909074415,,,,,,33.5523067782622,,
1982,28924262,84307486836.724,951.0,23.6957092285156,2.70455793520044,,1.15399003873071,,,,,,33.9063722686192,,
1983,29391332,103979106777.911,1102.0,24.7786998748779,2.73881278538813,,1.33323899671592,,,,,,28.1182756416111,,
1984,29863093,116915052107.031,1182.0,28.727560043335,2.16203914428767,,1.00132530320242,,,,,,25.0009988367976,,
1985,30336441,88150891728.1064,,35.6665916442871,2.29971724787936,,2.30948316016965,,,,,,17.3641413760603,,
1986,30811980,105872372613.857,,37.8025398254395,2.31367874921125,,1.50268664120952,42.8,,,,,16.9072294948969,,
1987,31291762,108810885301.253,,39.7573585510254,2.2843868799904,,1.30329791552911,45.3,,,,,21.2973148810876,,
1988,31780532,126890235049.092,,,2.12493922313663,,2.01161263434688,,,,,,20.3358354792818,,
1989,32270948,76629728760.123,,,1.88036559239223,,4.17314539897488,,,,,,39.7174950191489,,
1990,32755901,141352654305.163,955.0,,1.45090921225786,,2.55764564009885,,1351.48277612519,,,,15.6016948142115,,10.3254404487432
1991,33230294,189719984268.485,943.0,38.3296699523926,1.50692655529635,5.44,9.82484795783127,46.8,1385.38307033103,,,,12.5872034907184,,11.2055409345172
1992,33693527,228778917308.17,503.0,,1.42122223348777,6.36,8.14021686050481,45.5,1407.27675440761,,,24.961,15.4453354474077,,11.8011099217048
1993,34152717,236741715015.015,787.0,,1.42280290057293,10.1,18.6090186924623,44.8,1432.607502841,,,26.893,18.2846049267413,,14.2818561185834
1994,34613491,257440000000.0,694.0,37.3899002075195,1.45703853325047,11.76,14.3206960845246,45.9,1530.52760849222,,,28.426,20.280577998757,,14.9007924176507
1995,35070020,258031750000.0,676.0,,1.47307310721151,18.8,14.6430739627972,48.9,1507.19847475089,,,30.749,19.9606075608912,,15.5112306915719
1996,35513793,272149750000.0,1097.0,,1.24122726437626,17.11,16.421969889739,49.5,1534.09177637667,,,32.551,20.1870018252819,,15.1655476442657
1997,35947791,292859000000.0,824.0,,1.14013911131295,14.82,20.2322107225661,49.1,1567.39444751302,,,31.676,21.9334587634322,,15.0142218610321
1998,36372860,298948250000.0,861.0,47.9862289428711,1.13631802186333,12.65,15.1640961270053,50.7,1648.11263598533,,,34.147,24.1532987732827,,15.0988005449104
1999,36794682,283523000000.0,899.0,49.5107002258301,1.22035954754993,14.05,19.6977246995835,49.8,1666.81862190168,,,38.917,24.8933437498898,,16.7436856974566
2000,37213984,284203750000.0,1062.0,54.0843505859375,1.14882267666887,15.0,16.1290412248255,51.0,1643.32131961789,,8.22001076,40.833,23.8947336198062,,16.8328883767368
