Year,Population,GDP,Patent,EduRate,Gini,Military,Arable,unemployment,mcap_gdp,credit_gdp,npl,gov_exp
2000,126843000,5042381838343.44,387364.0,,,0.91598559605623,4474000.0,4.748,62.6136988673042,205.749576550972,,16.8583873088222
2001,127149000,4438792748062.4,386767.0,,,0.931672835040444,4444000.0,5.02,51.0167522686997,177.60004048631,,15.9990441968139
2002,127445000,4245946980572.3,369458.0,,,0.940357532610132,4419000.0,5.386,48.7358680988777,175.273915326861,,15.8676859179385
2003,127718000,4573413206709.02,358184.0,,,0.940046602477998,4397000.0,5.251,64.5709925284669,175.44585013008,,15.5441655579902
2004,127761000,4941485123806.53,368416.0,,,0.92660402297468,4379000.0,4.734,71.9960566684748,169.100287467634,,14.9262084105746
2005,127773000,4875648486366.14,367960.0,,,0.916916827733627,4360000.0,4.446,93.7906217560041,169.163944224739,,14.9154461269123
2006,127854000,4648058930707.24,347060.0,,,0.9029884189667,4343000.0,4.192,99.2687248330119,167.236285670945,,14.697150764199
2007,128001000,4624670179654.96,333498.0,,,0.88498737572599,4326000.0,3.888,93.6482320199346,161.085063089099,,13.8677759433066
2008,128063000,5160197175876.43,330110.0,,34.6,0.907855045566342,4308000.0,4.002,60.3814858968213,159.059175176627,,15.1060999851131
2009,128047000,5336765697589.29,295315.0,,33.0,0.972969565505525,4294000.0,5.068,61.9491699156553,166.282155800094,,18.0503831190898
2010,128070000,5811578109447.07,290081.0,,31.5,0.94903257605427,4282000.0,5.102,65.8646262325499,158.187641186844,2.45650253168859,17.0661520885656
2011,127833000,6279422550218.7,287580.0,,33.0,0.974823565427991,4254000.0,4.55,52.9569038140964,157.598125880489,2.44741326110445,18.4586404651775
2012,127629000,6333803928787.76,287013.0,,32.5,0.956761841659896,4246000.0,4.358,54.9248375717532,157.756791908458,2.42889160930217,17.9360125340068
2013,127445000,5272297037396.96,271731.0,62.6422691345215,31.5,0.940538501428935,4238000.0,4.038,86.1705838607882,160.852179939377,2.12909018123307,17.9343131216922
2014,127276000,4985763289560.81,265959.0,62.8334884643555,31.3,0.957800914762225,4222000.0,3.589,87.8099122589042,160.379549562716,1.74645633118206,17.2612660436382
2015,127141000,4534438580494.94,258839.0,62.4498481750488,30.7,0.947283532698529,4205000.0,3.385,107.949838400187,159.181728459752,1.5335999587436,16.6387940824247
2016,127076000,5110357383254.44,260244.0,62.4975395202637,31.8,0.929516775505971,4184000.0,3.132,96.9658143386727,160.034919112629,1.39676981537012,16.3623939827034
2017,126972000,5038231631660.71,260292.0,63.287540435791,31.8,0.913229479099801,4161000.0,2.822,123.512090450451,165.066755851422,1.19184799909608,15.8501306804408
2018,126811000,5154293721629.56,253630.0,62.6058502197266,32.9,0.962497363778907,4142000.0,2.467,102.765022446672,164.337775310176,1.07338670657475,15.7176930300877
2019,126633000,5245755000479.03,245372.0,62.4008407592773,33.0,0.992231472747577,4124000.0,2.351,118.020633625372,172.484602282465,1.11143560418892,16.0238913818249
2020,126261000,5189197543645.38,227348.0,62.2987403869629,32.3,1.01676127140466,4104000.0,2.809,129.465480808821,190.118294582821,1.13897924015799,22.9911903527757
2021,125681593,5225933520753.1,222452.0,62.0412483215332,,1.06384050244526,4086000.0,2.808,125.227453889557,188.29266863888,1.22751856952344,20.8459560561872
2022,125124989,4447976207314.78,,63.3752288818359,,1.00994395391657,4066000.0,2.614,120.9645737572,186.792764445788,1.23401036286557,20.0582116003984
2023,124516650,4384854269961.93,,64.4907608032227,,1.13954641785041,4044000.0,2.6,140.237275891347,186.110890163352,,
2024,123975371,4190008188358.57,,,,1.37139689580634,,2.5,150.612627620477,187.06798522924,,
2025,123366734,4435162999976.94,,,,,,2.451,171.595579915317,187.406646977743,,
