Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp
2000,65425961,274748463178.502,277.0,,3.64342934046749,6.495,25.3726332782831
2001,66245128,202195080239.036,337.0,25.0384502410889,3.57667970794229,8.381,23.9313389538437
2002,67048795,240778008473.845,414.0,25.9334297180176,3.76709151041563,10.358,14.9697932250799
2003,67831730,315392899922.379,489.0,29.7210502624512,3.26703119500148,10.542,21.6805768350615
2004,68592617,410156784495.948,682.0,30.7662506103516,2.67100029372768,10.838,23.9659573401427
2005,69329557,508314210212.544,928.0,33.2225189208984,2.38609105306995,10.636,31.4760431216549
2006,70045349,559668118237.002,1072.0,37.3102416992188,2.34016133817719,10.227,28.7447336658677
2007,70158112,685228481017.03,1810.0,39.3874015808105,2.19980660446648,10.285,41.5234987865206
2008,71051678,775415944332.866,2221.0,40.7729606628418,2.18178699504167,10.965,15.1640356197685
2009,72039206,653894449921.288,2555.0,46.9404602050781,2.47155127527395,14.026,35.4302517826673
2010,73142150,782545664268.333,3180.0,56.7506217956543,2.27171515093383,11.879,38.6486250975244
2011,74223629,844192507380.795,3885.0,61.516300201416,2.0275060358965,9.789,23.3447298189659
2012,75175827,885327622479.052,4434.0,70.1044998168945,2.00944811786941,9.21,35.6023603010825
2013,76147624,962167643588.925,4392.0,79.6469573974609,1.92395966496054,9.713,20.3442218520113
2014,77181884,942343431928.654,4766.0,86.9976806640625,1.87196639443904,9.901,23.3208565533503
2015,78218479,865460050683.656,5352.0,95.5645065307617,1.81284855723729,10.304,21.8221383934257
2016,79277962,870818016909.84,6230.0,103.71558380127,2.05032437865497,10.899,19.7245502231899
2017,80312698,863874522365.276,8175.0,110.534072875977,2.05006599219326,10.919,26.3362113489672
2018,81407204,788356985773.667,7156.0,115.462463378906,2.52209022414858,10.956,18.9334987440389
2019,82579440,775853144222.613,7871.0,117.005470275879,2.68985897943633,13.73,23.8403441910817
2020,83384680,733628247119.077,7920.0,118.883682250977,2.19555218691023,13.148,32.3697487020909
2021,84147318,839938668172.134,8234.0,125.763786315918,1.85888321091456,11.969,16.4768268498906
2022,84979913,926097476913.818,,127.577972412109,1.65879843534611,10.465,35.6345879593311
2023,85325965,1141242864657.45,,105.88606262207,1.71991880187465,9.388,29.5804723476915
2024,85518661,1359123768774.12,,,1.92255231276371,8.8,27.8827608424366
2025,85878556,1597293229287.0,,,,8.52,25.3144659093366
