Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,energy_pc,murder,health,debt_gdp,credit_gdp,npl,gov_exp,Gini,fdi_gdp,portfolio,reserves
2000,174018282,655448231983.527,3179.0,,1.73072614713627,10.889,34.5034586965952,1081.36193393467,26.0748466246634,8.33457184,62.198,31.1409857776162,,,,5.03391680528314,3075913756.64062,33015297295.6899
2001,176301203,559983634798.981,3439.0,,1.95188244532532,10.649,33.2576879799093,1086.99299318566,27.2006084949971,8.54963303,67.331,29.0040380210043,,,58.4,4.14759377398385,2481200940.0,35866445530.2453
2002,178503484,509795273806.715,3481.0,,1.89577119915617,10.641,24.8651834399039,1103.40127916211,27.848196026942,8.69686985,76.095,29.6451419418143,,,58.1,3.25358061271527,1980742540.0,37832146718.419
2003,180622688,558233745651.874,3866.0,,1.50347763554507,11.168,42.0182480595282,1107.9739157885,28.2710884352715,8.18899441,71.514,27.6856699444345,,,57.6,1.81340052439304,2972604810.0,49297286966.3089
2004,182675143,669289424806.307,4044.0,,1.46126840890621,10.072,49.357806616413,1157.16905577095,26.4918363852054,8.12491989,68.025,29.372770255415,,,56.5,2.71353166307823,2080933160.0,52934865185.6722
2005,184688101,891633839894.183,4054.0,,1.52401346273319,10.551,53.2333855853127,1173.71585743449,25.7693915381983,8.03539562,66.969,31.8397841549909,3.52553179140661,,56.3,1.73389354602718,6451252310.0,53799284976.6775
2006,186653106,1107626541434.92,3956.0,,1.48108495636286,9.692,64.1233686112181,1202.05933940304,26.3403064568888,8.24952507,64.599,35.4251666765934,3.46066404520993,,55.6,1.753125703626,7715813474.50957,85842861115.1295
2007,188552320,1397114486368.67,4194.0,,1.46629209992902,9.28,98.0385847662427,1259.91135986965,25.3144591379199,8.20182991,63.025,40.6909379433524,2.98260391267765,,54.9,3.19082601308524,26217335943.55,180333622535.832
2008,190367302,1695855083497.52,4280.0,,1.44192408837717,8.268,34.9066117594868,1317.23578420454,26.3359303856077,8.01128483,61.42,45.782255995169,3.10639256827815,,54.0,2.99060946922903,-7565367449.97137,193783363540.649
2009,192079951,1666996438581.43,4271.0,,1.53862567601211,9.419,80.2189884183531,1262.10043812649,26.7914479705158,8.39480495,64.702,47.4942898466145,4.2149946970135,,53.7,1.88848224095724,37071238200.0,238539464848.441
2010,193701929,2208837745100.55,4228.0,,1.53940698128362,8.42,69.971896461306,1384.36896688389,26.9945684769237,7.94516611,62.433,52.764657630443,3.10772417173934,28.0594682317914,,3.73001288350945,37671282921.22,288574623536.622
2011,195284734,2616156223917.69,4695.0,,1.41185115924524,7.578,46.9748793579181,1390.00783643031,26.7470983503833,7.78819132,60.634,58.0784911062018,3.46686409051456,28.662521677616,52.9,3.91518011405433,7173947294.34,352010222755.829
2012,196876111,2465227802806.76,4798.0,43.8344116210938,1.37865646470437,7.251,49.7904095760441,1433.15306444735,28.6413621085766,7.73637724,61.614,62.5192932018235,3.44682339262827,28.1749993082199,53.4,3.75496285641218,5601757311.4,373160977539.732
2013,198478299,2472819535557.21,4959.0,44.9966697692871,1.32944608382557,7.071,41.2668743240925,1487.45745839708,28.6404106359245,7.9766016,59.595,64.2305738283777,2.85728229301093,28.150486422269,52.7,3.04150901624338,11126371480.21,358816422466.118
2014,200085127,2456043727198.85,4659.0,47.8131904602051,1.330244423168,6.755,34.3599012775913,1522.42189026812,29.8537931807395,8.39644146,61.617,66.028510394056,2.25174733022776,29.2822360064413,52.1,3.57135266957477,11492921645.8,363570226084.661
2015,201675532,1802212206814.5,4641.0,49.0805015563965,1.36551715396161,8.538,27.21844342998,1482.02057858653,28.8503019791216,8.90929985,71.73,66.8297006475728,2.84649627717535,33.9491788065831,51.9,3.59214931791344,9786874386.37,356464980327.488
2016,203218114,1795693482853.01,5200.0,48.9665794372559,1.34797541299482,11.58,42.2432294418921,1414.8979311951,30.1193623667804,9.16901684,77.422,62.1940069633522,3.08157613195282,33.4051681393353,53.4,4.13737803865892,11039830849.63,364984039092.456
2017,204703445,2063514977365.65,5480.0,50.7326316833496,1.41402166797586,12.792,46.2664487765831,1431.95949698072,31.1611756216413,9.47125053,82.745,59.4843092973742,2.8789163660392,32.3610510090101,53.3,3.33825981739039,5673535220.18999,373955518686.487
2018,206107261,1916933898010.99,4980.0,52.05712890625,1.46967772350671,12.329,47.8276476278758,1403.40232453429,27.1606152370358,9.46475029,84.777,60.2183479381776,2.59786426236426,32.2312978931468,53.9,4.07858821454947,-2953215824.16,374709673447.828
2019,207455459,1873288205059.69,5464.0,53.6215400695801,1.38279724638797,11.936,63.3838235244836,1415.83477031974,21.2445602088385,9.61449146,87.118,62.790505078946,2.65554756569736,31.1361557850731,53.5,3.692673213156,-1809748191.07,356886386911.979
2020,208660842,1476107231310.49,5280.0,55.529109954834,1.32666026860555,13.697,66.9581653036492,1379.24649914162,21.8129091470528,9.62326527,96.007,68.6961548470609,1.86754766697946,34.9119748286061,48.8,2.59263795310275,-5206084618.91,355614251456.14
2021,209550294,1670647398904.9,4666.0,57.6311988830566,1.14903763026142,13.158,48.8359602711381,1430.3934661032,20.5048626655709,9.63646507,88.934,68.8052246830253,2.07937608671227,29.4981043220662,52.9,2.77979084938159,7593798086.89999,362210079181.317
2022,210306415,1951923942083.32,,61.0000915527344,1.05240083845945,9.231,40.699224128175,1432.72741132919,20.0811754127452,9.38739491,83.939,70.6060973782971,2.64123318576758,31.641435845417,51.9,3.8680317970139,11452732157.19,324673449781.4
2023,211140729,2191131765684.63,,,1.00237538990131,7.947,45.2367979654704,1481.22439922518,19.2752957673079,9.73092747,84.675,71.0755405509113,2.84264311217319,32.4311004876294,51.5,2.86383344298207,834210216.59,355021395541.562
2024,211998573,2185821610689.31,,69.7317733764648,0.972774559040702,6.801,30.1448145071733,1511.62383133688,,,87.575,75.6308730941359,2.71543100107416,,50.3,3.38960808548439,-17512844211.93,329732443813.378
2025,212812405,2279920092492.13,,,,5.97,38.2222400192741,,,,91.977,75.1029927271417,3.87755027454783,,,3.40696865505948,-4950741337.67,358513128727.455
