Year,Population,GDP,Patent,EduRate,Military,unemployment,mcap_gdp,credit_gdp,npl,gov_exp,Gini,energy_pc,murder,health,fdi_gdp,portfolio,reserves
2000,65425961,274748463178.502,277.0,,3.64342934046749,6.495,25.3726332782831,,,,,1166.01412005443,,4.59957218,0.357417831801301,489000000.0,23514529510.39
2001,66245128,202195080239.036,337.0,25.0384502410889,3.57667970794229,8.381,23.9313389538437,,,,,1060.57071953568,,4.88784933,1.65780492583561,-79000000.0,19911331846.7119
2002,67048795,240778008473.845,414.0,25.9334297180176,3.76709151041563,10.358,14.9697932250799,,,,41.4,1107.27991011855,,5.06227875,0.449376588359619,-16000000.0,28348030216.9613
2003,67831730,315392899922.379,489.0,29.7210502624512,3.26703119500148,10.542,21.6805768350615,,,,42.2,1159.99665803769,4.18240847006562,5.01427698,0.539644361182156,905000000.0,35548509276.1176
2004,68592617,410156784495.948,682.0,30.7662506103516,2.67100029372768,10.838,23.9659573401427,,,,41.3,1176.75430160118,4.24827062656029,4.9096446,0.679008638958041,1427000000.0,37304121308.7358
2005,69329557,508314210212.544,928.0,33.2225189208984,2.38609105306995,10.636,31.4760431216549,,4.31589850311115,,42.6,1211.46561646669,4.76708660324403,4.89389706,1.97338571270823,5669000000.0,52493941950.0754
2006,70045349,559668118237.002,1072.0,37.3102416992188,2.34016133817719,10.227,28.7447336658677,,3.58098683705456,,39.6,1328.69230138979,4.52278419997034,5.14591694,3.60660172381881,1939000000.0,63264841173.6432
2007,70158112,685228481017.03,1810.0,39.3874015808105,2.19980660446648,10.285,41.5234987865206,,3.3213977793724,,38.4,1429.92300570179,5.08688366199539,5.23760796,3.21746696332257,5138000000.0,76496127491.481
2008,71051678,775415944332.866,2221.0,40.7729606628418,2.18178699504167,10.965,15.1640356197685,33.1628558443028,3.44167340058132,30.1458278135473,39.0,1385.17801532797,4.55127664672389,5.21761751,2.56004537243285,716000000.0,73674684815.6172
2009,72039206,653894449921.288,2555.0,46.9404602050781,2.47155127527395,14.026,35.4302517826673,36.8190783164554,4.96997625418198,35.3173242047987,39.0,1364.09730379872,,5.49438715,1.31290302296241,2827000000.0,74933099954.2986
2010,73142150,782545664268.333,3180.0,56.7506217956543,2.27171515093383,11.879,38.6486250975244,44.0459707563417,3.48959158482402,32.6419229851543,38.8,1445.41016354332,4.17741645852185,5.02053452,1.16274364749147,3468000000.0,85959461665.9826
2011,74223629,844192507380.795,3885.0,61.516300201416,2.0275060358965,9.789,23.3447298189659,48.7422084050823,2.57632211204451,30.1444408136135,40.0,1515.88033612695,4.1244918510834,4.6530509,1.91686136260632,-985000000.0,87937253858.338
2012,75175827,885327622479.052,4434.0,70.1044998168945,2.00944811786941,9.21,35.6023603010825,51.5586765950105,2.7433675978872,29.4208604116485,40.2,1567.31606123672,4.27675507086876,4.44444656,1.55241965245755,6276000000.0,119182965975.41
2013,76147624,962167643588.925,4392.0,79.6469573974609,1.92395966496054,9.713,20.3442218520113,59.9792914244143,2.63627102630173,28.9891426072392,40.2,1510.79118967025,,4.37099934,1.40962960980578,842000000.0,131053847400.859
2014,77181884,942343431928.654,4766.0,86.9976806640625,1.87196639443904,9.901,23.3208565533503,63.2376327204216,2.74183131997442,29.2713082967685,41.2,1543.09095693879,,4.32517862,1.41530142282668,2559000000.0,127421921235.759
2015,78218479,865460050683.656,5352.0,95.5645065307617,1.81284855723729,10.304,21.8221383934257,66.3898521051604,2.98772329214313,28.8436742291669,42.9,1646.83631130339,2.79325328973375,4.11690426,2.225752648523,-2395000000.0,110489628113.015
2016,79277962,870818016909.84,6230.0,103.71558380127,2.05032437865497,10.899,19.7245502231899,69.2826364676667,3.10968373133546,30.6055405050211,41.9,1724.54363987712,3.31161155785991,4.28469229,1.58873607703875,823000000.0,104810530764.478
2017,80312698,863874522365.276,8175.0,110.534072875977,2.05006599219326,10.919,26.3362113489672,70.0844027288208,2.84271365893526,31.5527664341113,43.5,1828.02986770908,3.05836302689691,4.17974997,1.29532700760314,2971000000.0,107657025384.516
2018,81407204,788356985773.667,7156.0,115.462463378906,2.52209022414858,10.956,18.9334987440389,66.6976668187438,3.68690904641213,33.1443390183968,42.4,1771.33742856964,2.55994219861376,4.12101603,1.57923380202967,-1131000000.0,92997230040.5605
2019,82579440,775853144222.613,7871.0,117.005470275879,2.68985897943633,13.73,23.8403441910817,64.2557519386267,5.0229492930967,34.8909170453359,43.8,1774.19625722275,2.39580104761995,4.35954332,1.22536076199392,406000000.0,105619672447.934
2020,83384680,733628247119.077,7920.0,118.883682250977,2.19555218691023,13.148,32.3697487020909,75.2676019236764,3.8900924404522,33.4510950281809,43.0,1762.01062220058,2.49036807460102,4.61640215,1.02531493703228,-4255000000.0,93584577917.0715
2021,84147318,839938668172.134,8234.0,125.763786315918,1.85888321091456,11.969,16.4768268498906,70.9983608541485,2.97599400811766,30.2009775804558,44.4,1894.62719281739,2.49751250926437,4.56065559,1.50891969619413,-1434000000.0,111184882382.134
2022,84979913,926097476913.818,,127.577972412109,1.65879843534611,10.465,35.6345879593311,53.4262221477913,1.97901752159552,29.0624088388364,44.5,1841.55630679263,2.62122678525057,3.70338893,1.48839623728753,-4038000000.0,128735003395.893
2023,85325965,1141242864657.45,,105.88606262207,1.71991880187465,9.388,29.5804723476915,48.7952169007544,1.48012751953029,33.0277530817277,43.7,1849.53592344542,3.22789482308636,4.27524424,0.933806495534912,1387000000.0,140868480001.696
2024,85518661,1359123768774.12,,,1.92255231276371,8.8,27.8827608424366,42.9671022144841,1.6536819200798,,,1924.93815098993,,,0.860701598247461,-2481000000.0,155548682878.169
2025,85878556,1597293229287.0,,,,8.52,25.3144659093366,45.7827602523781,,,,,,,,,185567690700.458
